Sleep,,,,,,,,
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2022-07-07 1:32AM,2022-07-07 5:56AM,247,16,2,264,N/A,N/A,N/A
2022-07-05 11:31PM,2022-07-06 6:59AM,398,50,29,448,88,223,87
2022-07-05 12:22AM,2022-07-05 7:35AM,369,64,21,433,93,206,70
2022-07-04 12:15AM,2022-07-04 6:24AM,318,51,18,369,71,237,10
2022-07-02 11:23PM,2022-07-03 8:46AM,458,105,36,563,91,295,72
2022-07-01 10:03PM,2022-07-02 7:57AM,487,106,37,593,114,317,56
2022-06-29 9:34PM,2022-06-30 6:26AM,471,61,32,532,126,253,92
2022-06-28 9:49PM,2022-06-29 6:59AM,472,78,37,550,106,301,65
2022-06-27 9:48PM,2022-06-28 6:32AM,457,66,38,523,116,280,61
2022-06-23 10:25PM,2022-06-24 6:29AM,397,86,21,483,99,236,62
2022-06-22 10:17PM,2022-06-23 6:34AM,411,86,29,497,89,280,42
2022-06-21 10:02PM,2022-06-22 6:51AM,465,64,34,529,124,239,102
2022-06-20 11:09PM,2022-06-21 7:16AM,408,79,32,487,113,264,31
2022-06-20 12:28AM,2022-06-20 8:06AM,404,54,26,458,94,232,78
2022-06-18 10:50PM,2022-06-19 7:04AM,425,69,25,494,113,249,63
2022-06-18 12:41AM,2022-06-18 7:46AM,367,58,27,425,105,189,73
2022-06-16 11:11PM,2022-06-17 7:25AM,429,65,28,494,106,249,74
2022-06-15 11:31PM,2022-06-16 7:02AM,392,59,28,451,108,204,80
2022-06-14 10:41PM,2022-06-15 7:19AM,449,69,32,518,135,204,110
2022-06-14 12:05AM,2022-06-14 7:53AM,338,130,27,468,89,211,38
2022-06-12 11:12PM,2022-06-13 7:39AM,431,76,26,507,130,222,79
2022-06-12 1:40AM,2022-06-12 9:22AM,378,84,23,462,75,241,62
2022-06-11 1:18AM,2022-06-11 9:11AM,405,68,26,473,98,255,52
2022-06-10 12:07AM,2022-06-10 7:29AM,386,55,18,441,81,211,94
